Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Barrington Tops,NSW-0082,N/A,New South Wales,2422,-31.92294703,151.5371286,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
Barrington Tops National Park,NSW-0083,N/A,New South Wales,2422,-32.06673255,151.6640221,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
Barringun,NSW-0084,N/A,New South Wales,2840,-29.1892889,145.882438,Parkes,Bourke,Orana,Very Remote Australia,25 February 2016
Barry,NSW-0085,N/A,New South Wales,2799,-33.64610061,149.2663389,Calare,Blayney,Central West,Inner Regional Australia,25 February 2016
Barry,NSW-0086,N/A,New South Wales,2340,-31.57807893,151.267123,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Baryulgil,NSW-0087,N/A,New South Wales,2460,-29.22052595,152.6050551,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Batemans Bay,NSW-0088,N/A,New South Wales,2536,-35.70859051,150.1775843,Eden-Monaro,Eurobodalla,South Coast,Inner Regional Australia,25 February 2016
Bathurst,NSW-0089,N/A,New South Wales,2795,-33.41803672,149.5809274,Calare,Bathurst Regional,Central West,Inner Regional Australia,25 February 2016
Batlow,NSW-0090,N/A,New South Wales,2730,-35.52032313,148.1461398,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Batlow Road,NSW-0091,Between Batlow and Tumbarumba,New South Wales,2653,-35.644585,148.0654892,Riverina,Tumbarumba,Southern Inland,Outer Regional Australia,25 February 2016
Bawley Point,NSW-0092,N/A,New South Wales,2539,-35.51792422,150.3941957,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Bean Creek,NSW-0093,N/A,New South Wales,2469,-28.58575319,152.5804987,Page,Kyogle,Northern Rivers,Outer Regional Australia,25 February 2016
Beardy River,NSW-0094,N/A,New South Wales,2361,-29.18280377,151.3649794,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Beaumont,NSW-0095,N/A,New South Wales,2577,-34.78394478,150.5572403,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Beckom,NSW-0096,N/A,New South Wales,2665,-34.32975648,146.9620406,Riverina,Coolamon,Riverina,Outer Regional Australia,25 February 2016
Bectric,NSW-0097,N/A,New South Wales,2665,-34.51195321,147.2593626,Riverina,Temora,Riverina,Outer Regional Australia,25 February 2016
Bedgerebong,NSW-0098,N/A,New South Wales,2871,-33.35622688,147.7005152,Calare,Forbes,Central West,Outer Regional Australia,25 February 2016
Bega,NSW-0099,N/A,New South Wales,2550,-36.67460812,149.8425052,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Behring Street,NSW-0100,N/A,New South Wales,2835,-32.343392,144.88459,Parkes,Cobar,Orana,Very Remote Australia,25 February 2016
Belaringar,NSW-0101,N/A,New South Wales,2826,-31.7656171,147.5785062,Parkes,Warren,Orana,Remote Australia,25 February 2016
Belfrayden,NSW-0102,N/A,New South Wales,2650,-35.11667632,147.0557768,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,25 February 2016
Belgravia Road,NSW-0103,Between Strathmore Lane and Burrendong Way,New South Wales,2800,-33.11681676,149.0494305,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Belimbla Park,NSW-0104,N/A,New South Wales,2570,-34.07510537,150.5377492,Hume,Wollondilly,Sydney,Inner Regional Australia,25 February 2016
Bell,NSW-0105,N/A,New South Wales,2786,-33.51082148,150.2801969,Macquarie,Blue Mountains,Sydney,Inner Regional Australia,25 February 2016
Bellangry,NSW-0106,N/A,New South Wales,2446,-31.32780556,152.6105458,Lyne,Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,25 February 2016
Bellbird,NSW-0107,N/A,New South Wales,2325,-32.85624135,151.3227187,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Bells Line of Road,NSW-0108,Between Bell and Bilpin,New South Wales,2758,-33.53731933,150.4218991,Macquarie,Blue Mountains,Sydney,Inner Regional Australia,25 February 2016
